date,Maina,ibov,CDI,usd
2022-12-19,12159.69,1008.86,2177.98,476.42
2022-12-16,11973.79,990.71,2176.87,473.25
2022-12-15,12018.47,999.21,2175.77,476.62
2022-12-14,12081.77,999.29,2174.67,478.62
2022-12-13,12005.40,997.30,2173.56,472.02
2022-12-12,12204.65,1014.67,2172.46,475.58
2022-12-09,12340.94,1035.63,2171.36,469.57
2022-12-08,12350.27,1033.03,2170.25,466.84
2022-12-07,12599.08,1050.55,2169.15,467.89
2022-12-06,12584.47,1061.34,2168.05,469.57
2022-12-05,12562.40,1053.76,2166.95,470.17
2022-12-02,12843.16,1078.06,2165.85,465.79
2022-12-01,12682.65,1068.44,2164.75,465.56
2022-11-30,12829.38,1083.47,2163.65,474.46
2022-11-29,12772.24,1068.29,2162.55,475.67
2022-11-28,12694.09,1047.80,2161.46,482.13
2022-11-25,12765.28,1049.67,2160.36,479.54
2022-11-24,13009.95,1077.16,2159.26,476.32
2022-11-23,12722.76,1048.36,2158.17,483.32
2022-11-22,12769.42,1050.25,2157.07,478.02
2022-11-21,12786.16,1057.10,2155.97,477.31
2022-11-18,12796.55,1048.64,2154.88,479.26
2022-11-17,12809.96,1056.66,2153.79,489.82
2022-11-16,12952.85,1061.87,2152.69,476.81
2022-11-14,13304.30,1089.98,2151.60,475.10
2022-11-11,13321.04,1081.23,2150.51,475.44
2022-11-10,13281.33,1057.36,2149.42,475.56
2022-11-09,13671.87,1094.01,2148.33,462.70
2022-11-08,13815.50,1118.86,2147.23,463.73
2022-11-07,13758.36,1110.98,2146.14,456.04
2022-11-04,14031.44,1138.08,2145.06,451.32
2022-11-03,13875.41,1125.95,2143.97,460.19
2022-11-01,13737.65,1126.26,2142.88,461.54
2022-10-31,13604.05,1117.68,2141.79,471.13
2022-10-28,13431.87,1103.25,2140.70,479.06
2022-10-27,13374.12,1104.23,2139.62,475.01
2022-10-26,13194.91,1086.15,2138.53,477.21
2022-10-25,13346.41,1104.08,2137.44,475.80
2022-10-24,13527.81,1117.44,2136.36,472.69
2022-10-21,13580.04,1155.16,2135.28,465.30
2022-10-20,13449.14,1128.60,2134.19,467.60
2022-10-19,13472.70,1119.96,2133.11,473.26
2022-10-18,13377.10,1114.84,2132.03,472.27
2022-10-17,13208.96,1094.43,2130.94,472.41
2022-10-14,13060.79,1079.49,2129.86,473.41
2022-10-13,13116.19,1100.94,2128.78,475.14
2022-10-11,13063.22,1106.02,2127.70,466.62
2022-10-10,13117.87,1116.75,2126.62,465.49
2022-10-07,13145.09,1120.93,2125.54,468.00
2022-10-06,13377.58,1132.35,2124.46,466.09
2022-10-05,13255.14,1128.86,2123.38,467.31
2022-10-04,13267.47,1119.53,2122.30,460.74
2022-10-03,13304.61,1118.61,2121.23,466.04
2022-09-30,12820.24,1059.88,2120.15,484.54
2022-09-29,12655.32,1037.03,2119.07,483.19
2022-09-28,12751.80,1044.61,2118.00,480.31
2022-09-27,12738.52,1043.89,2116.92,479.54
2022-09-26,12851.14,1050.99,2115.85,479.90
2022-09-23,13093.53,1076.05,2114.77,468.32
2022-09-22,13201.95,1098.73,2113.70,463.13
2022-09-21,12977.36,1078.17,2112.63,463.26
2022-09-20,12995.40,1083.77,2111.56,463.38
2022-09-19,12956.75,1077.09,2110.48,469.31
2022-09-16,12819.71,1052.59,2109.41,473.93
2022-09-15,12886.27,1059.08,2108.34,467.91
2022-09-14,13011.79,1064.79,2107.27,464.00
2022-09-13,12892.79,1067.17,2106.20,464.17
2022-09-12,13097.51,1092.34,2105.13,458.70
2022-09-09,12978.29,1081.68,2104.06,462.73
2022-09-08,12869.35,1058.71,2103.00,467.41
2022-09-06,12880.16,1057.25,2101.93,468.06
2022-09-05,13094.11,1080.75,2100.86,463.21
2022-09-02,13053.73,1067.85,2099.80,464.93
2022-09-01,12992.08,1063.43,2098.73,466.08
2022-08-31,12928.02,1054.93,2097.66,464.14
2022-08-30,13047.55,1063.67,2096.60,453.63
2022-08-29,13471.34,1081.90,2095.53,451.94
2022-08-26,13391.42,1081.67,2094.47,456.19
2022-08-25,13554.77,1093.54,2093.41,458.61
2022-08-24,13571.75,1087.44,2092.35,457.51
2022-08-23,13525.16,1087.05,2091.28,457.33
2022-08-22,13475.05,1064.35,2090.22,463.41
2022-08-19,13572.01,1073.94,2089.16,465.67
2022-08-18,13710.20,1096.25,2088.10,463.99
2022-08-17,13759.50,1095.24,2087.04,464.09
2022-08-16,13641.67,1093.36,2085.98,460.11
2022-08-15,13616.94,1088.73,2084.92,456.39
2022-08-12,13512.43,1086.15,2083.86,457.26
2022-08-11,13247.92,1056.81,2082.81,458.20
2022-08-10,13351.13,1061.80,2081.75,452.55
2022-08-09,13101.51,1046.53,2080.69,459.07
2022-08-08,13209.39,1044.14,2079.64,459.27
2022-08-05,13137.30,1025.54,2078.58,467.50
2022-08-04,13112.87,1019.96,2077.52,469.69
2022-08-03,12855.91,999.56,2076.51,473.60
2022-08-02,12727.77,995.59,2075.49,468.97
2022-08-01,12683.45,984.64,2074.47,462.49
2022-07-29,12731.80,993.69,2073.45,464.98
2022-07-28,12633.54,988.22,2072.44,467.36
2022-07-27,12521.53,977.06,2071.42,475.65
2022-07-26,12237.55,961.01,2070.41,480.43
2022-07-25,12353.06,965.80,2069.39,485.24
2022-07-22,12326.93,952.85,2068.38,488.63
2022-07-21,12333.62,953.89,2067.36,490.67
2022-07-20,12236.98,946.70,2066.35,486.53
2022-07-19,12145.53,946.30,2065.34,483.09
2022-07-18,11961.06,933.50,2064.33,481.03
2022-07-15,11995.55,929.98,2063.31,484.07
2022-07-14,11979.47,925.84,2062.30,489.04
2022-07-13,11967.94,942.80,2061.29,483.88
2022-07-12,12123.50,946.55,2060.28,485.02
2022-07-11,12125.68,945.99,2059.27,479.26
2022-07-08,12292.21,965.99,2058.26,475.76
2022-07-07,12219.78,970.23,2057.25,480.72
2022-07-06,12020.02,950.87,2056.25,486.82
2022-07-05,11948.39,946.78,2055.24,483.04
2022-07-04,12005.93,949.81,2054.23,475.32
2022-07-01,12114.25,953.13,2053.22,476.26
2022-06-30,12062.77,949.16,2052.22,469.43
2022-06-29,12095.54,959.56,2051.21,468.42
2022-06-28,12248.76,968.90,2050.21,467.63
2022-06-27,12271.99,970.56,2049.20,467.94
2022-06-24,12182.00,950.42,2048.20,469.01
2022-06-23,12179.04,944.72,2047.19,464.52
2022-06-22,12192.99,958.60,2046.19,461.62
2022-06-21,12206.84,960.17,2045.19,461.20
2022-06-20,12217.72,961.79,2044.18,462.80
2022-06-17,12302.14,961.52,2043.18,459.86
2022-06-15,12387.99,990.24,2042.22,458.12
2022-06-14,12223.18,983.08,2041.25,458.88
2022-06-13,12382.41,988.23,2040.29,457.35
2022-06-10,12691.34,1016.00,2039.32,446.63
2022-06-09,12817.30,1031.53,2038.36,438.69
2022-06-08,12897.67,1043.80,2037.40,436.54
2022-06-07,13050.40,1060.20,2036.43,438.32
2022-06-06,13132.63,1061.32,2035.47,428.73
2022-06-03,13241.37,1070.14,2034.51,429.78
2022-06-02,13423.29,1082.57,2033.55,429.08
2022-06-01,13343.04,1072.63,2032.59,428.06
2022-05-31,13200.29,1072.53,2031.63,423.80
2022-05-30,13184.37,1069.47,2030.67,423.14
2022-05-27,13257.18,1078.23,2029.71,425.10
2022-05-26,13173.27,1077.73,2028.75,429.87
2022-05-25,12991.15,1065.11,2027.79,433.39
2022-05-24,12968.05,1065.12,2026.83,431.12
2022-05-23,12906.95,1062.86,2025.87,429.93
2022-05-20,12718.95,1044.96,2024.92,437.13
2022-05-19,12640.61,1030.68,2023.96,440.91
2022-05-18,12554.91,1023.38,2023.00,444.44
2022-05-17,12827.11,1047.86,2022.05,445.19
2022-05-16,12710.19,1042.50,2021.09,454.06
2022-05-13,12758.99,1029.90,2020.13,457.73
2022-05-12,12502.20,1017.99,2019.18,461.38
2022-05-11,12413.54,1005.56,2018.23,459.25
2022-05-10,12370.14,993.16,2017.27,460.55
2022-05-09,12330.66,994.51,2016.32,460.11
2022-05-06,12561.42,1012.66,2015.37,454.82
2022-05-05,12726.35,1014.30,2014.41,448.55
2022-05-04,13050.32,1043.57,2013.53,448.93
2022-05-03,12867.00,1026.08,2012.65,449.59
2022-05-02,12967.76,1027.15,2011.77,450.48
2022-04-29,13119.20,1039.07,2010.89,440.84
2022-04-28,13294.51,1058.75,2010.01,449.08
2022-04-27,13202.98,1053.26,2009.14,449.59
2022-04-26,13192.97,1042.31,2008.26,445.10
2022-04-25,13327.66,1066.12,2007.38,437.50
2022-04-22,13366.90,1069.90,2006.50,424.13
2022-04-20,13587.73,1101.37,2005.62,415.80
2022-04-19,13557.02,1108.23,2004.75,418.19
2022-04-18,13554.97,1114.31,2003.87,418.93
2022-04-14,13527.75,1119.07,2002.99,422.62
2022-04-13,13552.16,1124.85,2002.12,419.51
2022-04-12,13568.57,1118.73,2001.24,416.57
2022-04-11,13553.45,1126.50,2000.37,421.43
2022-04-08,13695.48,1139.69,1999.49,425.80
2022-04-07,13715.02,1144.89,1998.62,424.99
2022-04-06,13764.70,1138.78,1997.75,420.91
2022-04-05,13822.78,1145.11,1996.87,415.83
2022-04-04,13965.63,1168.17,1996.00,413.81
2022-04-01,14031.48,1170.97,1995.13,421.06
2022-03-31,13959.81,1155.84,1994.25,424.59
2022-03-30,14066.26,1158.35,1993.38,425.66
2022-03-29,14127.21,1155.98,1992.51,425.56
2022-03-28,14043.11,1143.69,1991.64,429.32
2022-03-25,14000.47,1147.00,1990.77,428.22
2022-03-24,14026.50,1146.72,1989.90,430.77
2022-03-23,13790.44,1131.36,1989.03,436.48
2022-03-22,13740.52,1129.57,1988.16,441.00
2022-03-21,13483.05,1118.81,1987.29,445.10
2022-03-18,13544.69,1110.68,1986.42,451.78
2022-03-17,13223.90,1089.16,1985.55,454.94
2022-03-16,12979.20,1070.24,1984.76,459.63
2022-03-15,12847.22,1049.50,1983.96,459.87
2022-03-14,12928.33,1058.83,1983.16,453.89
2022-03-11,13042.73,1076.03,1982.37,450.38
2022-03-10,13200.43,1094.81,1981.57,452.69
2022-03-09,13292.84,1097.09,1980.77,448.94
2022-03-08,13020.90,1071.12,1979.98,456.19
2022-03-07,12975.76,1074.87,1979.18,453.28
2022-03-04,13138.73,1102.62,1978.39,454.89
2022-03-03,13194.33,1109.28,1977.60,452.39
2022-03-02,13126.70,1109.36,1976.80,460.17
2022-02-25,13133.20,1089.79,1976.01,460.59
2022-02-24,13010.88,1074.86,1975.21,458.62
2022-02-23,13011.76,1078.86,1974.42,449.38
2022-02-22,13145.82,1087.38,1973.63,453.57
2022-02-21,13131.84,1076.14,1972.84,457.03
2022-02-18,13381.65,1087.27,1972.04,460.10
2022-02-17,13537.07,1093.51,1971.25,462.12
2022-02-16,13540.85,1109.43,1970.46,462.71
2022-02-15,13444.94,1106.03,1969.67,464.95
2022-02-14,13390.15,1097.08,1968.88,466.97
2022-02-11,13350.02,1093.94,1968.09,465.90
2022-02-10,13351.07,1091.96,1967.30,466.93
2022-02-09,13348.50,1083.23,1966.51,472.61
2022-02-08,13256.75,1081.05,1965.72,472.29
2022-02-07,13298.56,1078.76,1964.93,474.20
2022-02-04,13424.36,1081.15,1964.14,477.53
2022-02-03,13492.81,1075.86,1963.35,475.21
2022-02-02,13502.26,1077.77,1962.67,474.59
2022-02-01,13546.87,1090.62,1961.99,473.28
2022-01-31,13536.33,1080.17,1961.31,480.13
2022-01-28,13357.63,1077.92,1960.62,483.54
2022-01-27,13356.29,1084.68,1959.94,482.26
2022-01-26,13056.66,1071.94,1959.26,486.85
